"k","g","lambda","s"
1,1,98.0836544540668,0.989907517990633
1,1,108.047182231813,0.990829657589187
1,1,119.022824477872,0.99166825139843
1,1,131.113393742157,0.992430744743779
1,1,144.432146472728,0.993123941135067
1,1,159.103843927215,0.993754053772409
1,1,175.265920853676,0.994326753605252
1,1,193.069772888325,0.994847214045149
1,1,212.682174729621,0.995320152458831
1,1,234.286842373224,0.995749868586303
1,1,258.086154041808,0.996140280040443
1,1,284.303045930267,0.996494955051253
1,1,313.183100524384,0.996817142620558
1,1,344.996847054972,0.997109800252483
1,1,380.042295636589,0.997375619422171
1,1,418.647728828996,0.997617048940571
1,1,461.174776770826,0.997836316367183
1,1,508.021804691302,0.998035447615832
1,1,559.627644531955,0.998216284891133
1,1,616.475705633717,0.998380503085585
1,1,679.098502995572,0.998529624759361
1,1,748.082645522509,0.99866503381706
1,1,824.074330989367,0.998787987987942
1,1,907.785399193756,0.998899630208752
1,1,1000,0.999000999000999
10,1,0.01,0.000999000999000999
10,1,0.011015819387359,0.00110036979124793
10,1,0.0121348276774914,0.00121201201205821
10,1,0.0133675069991971,0.00133496618294029
10,1,0.0147254042762412,0.00147037524063851
10,1,0.0162212393912917,0.00161949691441495
10,1,0.0178690243373583,0.0017837151088667
10,1,0.0196841944728661,0.0019645523841684
10,1,0.0216837531098744,0.00216368363281725
10,1,0.023886430789846,0.00238295105942893
10,1,0.0263128607389594,0.0026243805778289
10,1,0.0289857721465107,0.00289019974751712
10,1,0.0319302030769103,0.00318285737944198
10,1,0.0351737350096938,0.00350504494874695
10,1,0.0387467512045613,0.00385971995955691
10,1,0.0426827213116382,0.00425013141369695
10,1,0.0470185148929985,0.00467984754116871
10,1,0.0517947467923121,0.00515278595485057
10,1,0.0570561575878102,0.0056732463947477
10,1,0.062852032692401,0.00624594622759095
10,1,0.0692366640267873,0.00687605886493275
10,1,0.0762698585902344,0.00756925525622091
10,1,0.0840174986929434,0.0083317486015701
10,1,0.0925521590979135,0.00917034241081257
10,1,0.101953786853273,0.010092482009367
10,1,0.112310450183295,0.0111063095557217
10,1,0.123719163453216,0.0122207225877861
10,1,0.136286795935577,0.0134454360535877
10,1,0.150131072890817,0.0147910477029987
10,1,0.165381678339567,0.0162691066181965
10,1,0.182181469856698,0.0178921845378642
10,1,0.200687816766497,0.0196739494798217
